SiteCode,SiteName,Latitude,Longitude,LatLongDatumSRSName,SiteType,Comments
W4,Monitoring well 4,-22.243543,-47.962785,WGS84,Well,
W5,Monitoring well 5,-22.243539,-47.962513,WGS84,Well,
W9,Monitoring well 9,-22.189650,-47.926404,WGS84,Well,
W13,Monitoring well 13,-22.172709,-47.938902,WGS84,Well,
W14,Monitoring well 14,-22.172156,-47.938067,WGS84,Well,
W15,Monitoring well 15,-22.170763,-47.932234,WGS84,Well,
W16,Monitoring well 16,-22.174929,-47.953901,WGS84,Well,
W19,Monitoring well 19,-22.178264,-47.954175,WGS84,Well,
BRO,Bacia do Ribeirao da Onca,-22.199580,-47.964721,WGS84,Spatial Average,
SG-SM,Santa Maria Farm Stream Gauge,-22.171066,-47.940052,WGS84,Stream,
WS-CRHEA,Conventional Weather Station Centro de Recursos Hidricos e Estudos Ambientais,-22.170491,-47.898771,WGS84,Atmosphere,
WS-STO,Automatic Weather Station Santo Ignacio Farm,-22.232590,-47.937871,WGS84,Atmosphere,
WS-NMA,Automatic Weather Station Monte Alegre Farm,-22.188542,-47.953415,WGS84,Atmosphere,
RG-2247197,Rain Gauge Estação Ferroviária Campo Alegre (ANA),-22.240000,-47.960000,WGS84,Atmosphere,
,,,,,,
